"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-07","0.00",",,,7","95.4",",,,7","63.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-08","0.00",",,,7","94.9",",,,7","61.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-09","0.05",",,,7","90.0",",,,7","59.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-10","0.05",",,,7","85.0",",,,7","55.6",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-11","2.47",",,,7","61.6",",,,7","42.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2015-12","1.04",",,,7","55.8",",,,7","40.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-01","5.26",",,,7","56.5",",,,7","42.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-02","0.41",",,,7","67.3",",,,7","43.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-03","7.13",",,,7","68.5",",,,7","48.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-04","0.60",",,,7","78.2",",,,7","52.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-05","0.70",",,,7","83.9",",,,7","57.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-06","0.00",",,,7","93.7",",,,7","60.9",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-07","0.00",",,,7","96.2",",,,7","61.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-08","0.00",",,,7","95.4",",,,7","58.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-09","0.00",",,,7","91.7",",,,7","58.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-10","2.00",",,,7","76.0",",,,7","53.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-11","1.28","1,,,7","66.9","1,,,7","47.5","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2016-12","3.06",",,,7","56.0",",,,7","38.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-01","13.94",",,,7","54.5",",,,7","38.8",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-02","8.78",",,,7","60.5",",,,7","45.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-03","2.29",",,,7","69.4",",,,7","48.7",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-04","2.94",",,,7","72.1",",,,7","51.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-05","0.04",",,,7","85.3",",,,7","57.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-06","0.10",",,,7","91.1",",,,7","58.9",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-07","0.00",",,,7","96.1",",,,7","58.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-08","0.00",",,,7","94.4",",,,7","59.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-09","0.02",",,,7","89.9",",,,7","58.4",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-10","0.22",",,,7","81.4",",,,7","48.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-11","1.65",",,,7","64.8",",,,7","45.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2017-12","0.09",",,,7","61.8",",,,7","33.6","1,,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-01","4.69",",,,7","58.1",",,,7","40.8",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-02","0.35",",,,7","66.3",",,,7","38.0",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-03","4.56",",,,7","65.6",",,,7","42.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-04","2.17",",,,7","73.6",",,,7","46.7",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-05","0.10",",,,7","82.4",",,,7","52.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-06","0.00",",,,7","91.3",",,,7","55.7",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-07","0.00",",,,7","95.7",",,,7","58.6",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-08","0.00",",,,7","90.8",",,,7","55.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-09","0.00",",,,7","90.0",",,,7","52.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-10","0.06",",,,7","82.4",",,,7","50.3",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-11","3.23",",,,7","68.5",",,,7","41.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2018-12","2.31",",,,7","57.8",",,,7","39.6",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-01","7.13",",,,7","59.9",",,,7","42.2",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-02","11.13",",,,7","55.8",",,,7","39.8",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-03","5.71",",,,7","64.8",",,,7","44.8",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-04","0.23",",,,7","76.5",",,,7","50.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-05","3.21",",,,7","77.5",",,,7","51.1",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-06","0.00",",,,7","92.0",",,,7","58.9",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-07","0.00",",,,7","93.0",",,,7","57.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-08","0.00",",,,7","95.4",",,,7","59.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-09","1.32",",,,7","88.6",",,,7","55.5",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-10","0.00",",,,7","81.2",",,,7","46.9",",,,7"
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-11",,,,,,
"USC00049781","WOODLAND 1 WNW, CA US","38.6829","-121.794","20.4","2019-12","6.65",",,,7","58.0",",,,7","42.1",",,,7"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-01",,,"63.4",",,,U","36.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-02",,,"64.3",",,,U","40.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-03",,,"62.4",",,,U","43.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-04",,,"72.1",",,,U","46.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-05",,,"84.9",",,,U","53.5",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-06",,,"90.5",",,,U","58.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-07",,,"95.9",",,,U","60.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-08",,,"98.9",",,,U","62.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-09",,,"94.9",",,,U","57.5",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-10",,,"79.9",",,,U","53.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-11",,,"67.0",",,,U","44.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2012-12",,,"56.0",",,,U","38.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-01",,,"58.8",",,,U","33.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-02",,,"64.8",",,,U","36.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-03",,,"69.9",",,,U","43.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-04",,,"79.4",",,,U","50.5",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-05",,,"85.2",",,,U","55.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-06",,,"92.3",",,,U","60.8",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-07",,,"99.0",",,,U","63.5",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-08",,,"94.5",",,,U","60.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-09",,,"88.5",",,,U","58.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-10",,,"80.3",",,,U","48.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-11",,,"70.2",",,,U","43.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2013-12",,,"62.8",",,,U","32.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-01",,,"70.2",",,,U","40.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-02",,,"64.0",",,,U","44.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-03",,,"69.7",",,,U","47.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-04",,,"76.6",",,,U","48.8",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-05",,,"87.0",",,,U","55.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-06",,,"94.9",",,,U","60.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-07",,,"99.0",",,,U","65.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-08",,,"95.2",",,,U","62.8",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-09",,,"91.8",",,,U","59.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-10",,,"83.2",",,,U","54.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-11",,,"67.8",",,,U","44.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2014-12",,,"58.1",",,,U","46.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-01",,,"63.5",",,,U","39.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-02",,,"67.7",",,,U","44.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-03",,,"74.6",",,,U","46.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-04",,,"77.9",",,,U","47.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-05",,,"81.6",",,,U","50.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-06",,,"96.2",",,,U","61.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-07",,,"96.2",",,,U","65.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-08",,,"95.2",",,,U","61.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-09",,,"91.1",",,,U","59.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-10",,,"85.1",",,,U","55.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-11",,,"63.8",",,,U","39.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2015-12",,,"55.8",",,,U","38.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-01",,,"56.3",",,,U","42.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-02",,,"68.2",",,,U","42.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-03",,,"66.7",",,,U","46.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-04",,,"75.7",",,,U","49.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-05",,,"82.7",",,,U","55.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-06",,,"94.4",",,,U","61.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-07",,,"97.6",",,,U","62.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-08",,,"96.5",",,,U","59.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-09",,,"91.8",",,,U","58.0",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-10",,,"75.1",",,,U","52.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-11",,,"66.8",",,,U","44.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2016-12",,,"58.0",",,,U","36.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-01",,,"55.6",",,,U","38.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-02",,,"60.1",",,,U","43.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-03",,,"68.4",",,,U","45.8",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-04",,,"70.6",",,,U","47.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-05",,,"85.0",",,,U","53.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-06",,,"94.2",",,,U","61.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-07",,,"100.4",",,,U","64.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-08",,,"99.4",",,,U","64.5",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-09",,,"91.6",",,,U","61.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-10",,,"83.3",",,,U","50.5",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-11",,,"65.3",",,,U","45.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2017-12",,,"64.3",",,,U","36.8",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-01",,,"60.2",",,,U","41.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-02",,,"67.0",",,,U","38.8","1,,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-03",,,"64.9",",,,U","41.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-05",,,"84.4",",,,U","54.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-06",,,"94.4",",,,U","58.8",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-07",,,"100.5",",,,U","66.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-08",,,"94.5",",,,U","59.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-09",,,"91.5",",,,U","56.4",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-10",,,"81.7",",,,U","54.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-11",,,"70.4",",,,U","44.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2018-12",,,"59.1",",,,U","40.1",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-04",,,"75.6",",,,U","51.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-05",,,"78.5",",,,U","51.7",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-06",,,"93.9",",,,U","61.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-07",,,"96.0",",,,U","62.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-08",,,"97.5",",,,U","63.9",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-09",,,"89.3",",,,U","58.6",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-10",,,"80.8",",,,U","48.3",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-11",,,"71.5",",,,U","42.2",",,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","38.7383","-122.1447","107.9","2019-12",,,"56.7",",,,U","42.3",",,,U"
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-01","2.69",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-02","0.71",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-04","1.72",",a,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-05","0.17",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-06","0.04",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-07","0.00",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-08","0.00",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-09","0.00",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-10","0.73",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2012-11","3.38",",,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2013-01","0.54",",a,,N",,,,
"US1CAYL0010","WOODLAND 2.8 SE, CA US","38.647106","-121.732159","11.6","2013-02","0.34",",,,N",,,,
